,year,title,copyright,AU,SO
7411,2003,Life cycle assessment of fuel cell vehicles - A case study summary,,"Contadini, JF|Moore, RM",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7442,2013,Environmental assessment of gasification technology for biomass conversion to energy in comparison with other alternatives: the case of wheat straw, Elsevier Ltd. All rights reserved.,"Nguyen, TLT|Hermansen, JE|Nielsen, RG",JOURNAL OF CLEANER PRODUCTION
7454,2013,Intelligent Performance Assessment of Students' Laboratory Work in a Virtual Electronic Laboratory Environment,,"Achumba, IE|Azzi, D|Dunn, VL|Chukwudebe, GA",IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES
7455,2011,Functional gradient as a tool for semi-analytical optimization for structural buckling, Elsevier Ltd. All rights reserved.,"Kirikov, M|Altus, E",COMPUTERS & STRUCTURES
7456,2005,The production size and inventory policy for a manufacturer in a two-echelon inventory model, Elsevier Ltd. All rights reserved.,"Lin, CH|Lin, YS",COMPUTERS & OPERATIONS RESEARCH
7457,2006,FEM simulation of the eye structure with bioheat analysis, (c) 2006 Elsevier Ireland Ltd. All rights reserved.,"Ng, EYK|Ooi, EH",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE
7471,2010,Womersley number-based estimation of flow rate with Doppler ultrasound: Sensitivity analysis and first clinical application, (C) 2009 Elsevier Ireland Ltd. All rights reserved.,"Vergara, C|Ponzini, R|Veneziani, A|Redaelli, A|Neglia, D|Parodi, O",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE
7488,2016,Nutrient footprint as a tool to evaluate the nutrient balance of a food chain, Elsevier Ltd. All rights reserved.,"Gronman, K|Ypya, J|Virtanen, Y|Kurppa, S|Soukka, R|Seuri, P|Finer, A|Linnanen, L",JOURNAL OF CLEANER PRODUCTION
7505,2016,High impact polypropylene (HIPP) recycling - Mechanical resistance and Lifecycle Assessment (LCA) case study with improved efficiency by preliminary sensitivity analysis, Elsevier Ltd. All rights reserved.,"Kozderka, M|Rose, B|Koci, V|Caillaud, E|Bahlouli, N",JOURNAL OF CLEANER PRODUCTION
7506,2001,Gradient weighted residuals for error indicators in FEM and BEM, (C) 2001 Elsevier Science Ltd. All rights reserved.,"Meric, RA",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS
7513,2009,Life cycle assessment of soybean-based biodiesel in Argentina for export,,"Panichelli, L|Dauriat, A|Gnansounou, E",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7517,2001,A study of the weighting method for a certain type of multicriteria optimization problem, (C) 2001 Elsevier Science Ltd. All rights reserved.,"Zhang, WH|Yang, HC",COMPUTERS & STRUCTURES
7519,2012,Process enhancement through waste minimization and multiobjective optimization, Elsevier Ltd. All rights reserved.,"Shadiya, OO|Satish, V|High, KA",JOURNAL OF CLEANER PRODUCTION
7535,2015,A closed-loop location-inventory problem with spare parts consideration, Elsevier Ltd. All rights reserved.,"Diabat, A|Abdallah, T|Henschel, A",COMPUTERS & OPERATIONS RESEARCH
7537,2017,"Geometric service life modelling and discounting, a practical method for parametrised life cycle assessment",,"Galle, W|De Temmerman, N|Allacker, K|De Meyer, R",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7541,2001,"Multi-scenario flood modeling in a mountain watershed using data from a NWP model, rain radar and rain gauges",,"Taschner, S|Ludwig, R|Mauser, W",PHYSICS AND CHEMISTRY OF THE EARTH PART B-HYDROLOGY OCEANS AND ATMOSPHERE
7548,2016,A stochastic algorithm for online bipartite resource allocation problems, Elsevier Ltd. All rights reserved.,"Legrain, A|Jaillet, P",COMPUTERS & OPERATIONS RESEARCH
7554,2017,Spatial and technological variability in the carbon footprint of durum wheat production in Iran,,"Heidari, MD|Mobli, H|Omid, M|Rafiee, S|Marbini, VJ|Elshout, PMF|Van Zelm, R|Huijbregts, MAJ",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7558,2015,Prognostication of energy consumption and greenhouse gas (GHG) emissions analysis of apple production in West Azarbayjan of Iran using Artificial Neural Network, Elsevier Ltd. All rights reserved.,"Taghavifar, H|Mardani, A",JOURNAL OF CLEANER PRODUCTION
7574,2006,Partitioning multiple objective optimal solutions with applications in radiotherapy design,,"Holder, A",OPTIMIZATION AND ENGINEERING
7576,2013,Carbon footprint and emergy combination for eco-environmental assessment of cleaner heat production, Elsevier Ltd. All rights reserved.,"Jamali-Zghal, N|Amponsah, NY|Lacarriere, B|Le Corre, O|Feidt, M",JOURNAL OF CLEANER PRODUCTION
7577,2016,"Robust semantic text similarity using LSA, machine learning, and linguistic resources",,"Kashyap, A|Han, L|Yus, R|Sleeman, J|Satyapanich, T|Gandhi, S|Finin, T",LANGUAGE RESOURCES AND EVALUATION
7578,2010,AESOP-a numerical platform for aerodynamic shape optimization,,"Amoignon, O",OPTIMIZATION AND ENGINEERING
7584,2008,Engineering computation under uncertainty - Capabilities of non-traditional models, Elsevier Ltd. All rights reserved.,"Moller, B|Beer, M",COMPUTERS & STRUCTURES
7598,2012,Water pressure head and temperature impact on isoxaflutole degradation in crop residues and loamy surface soil under conventional and conservation tillage management, Elsevier Ltd. All rights reserved.,"Alletto, L|Coquet, Y|Bergheaud, V|Benoit, P",CHEMOSPHERE
7602,2009,VERIFICATION OF A 3-D NUMERICAL MODEL FOR SPILLWAY AERATOR,,"Ozturk, M|Aydin, MC",MATHEMATICAL & COMPUTATIONAL APPLICATIONS
7617,2011,Robust topology optimization of structures with uncertainties in stiffness - Application to truss structures, Elsevier Ltd. All rights reserved.,"Asadpoure, A|Tootkaboni, M|Guest, JK",COMPUTERS & STRUCTURES
7618,2005,"Propagation of uncertainty in diffuse pollution into water quality predictions: application to the River Derider in Flanders, Belgium.",,"Vandenberghe, V|van Griensven, A|Bauwens, W|Vanrolleghem, PA",WATER SCIENCE AND TECHNOLOGY
7624,2010,Cereal Phenolic Compounds as Biopesticides of Cereal Aphids,,"Wojcicka, A",POLISH JOURNAL OF ENVIRONMENTAL STUDIES
7625,2012,ESTABLISHMENT AND PHYSIOLOGICAL RESPONSES OF THE SYMBIOSIS BETWEEN Rhizobium tropici AND Leucaena leucocephala UNDER CONTAMINATED SYSTEMS WITH NAPHTALENE AND PHENANTHRENE,,"Lopez-Ortiz, C|Ferrera-Cerrato, R|Alarcon, A|Almaraz, JJ|Martinez-Romero, E|Mendoza-Lopez, MR",REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL
7631,2009,Ensemble forecasts for operational flood management,,"Dietrich, J|Schumann, A|Pfutzner, B|Walther, J|Wang, Y|Denhard, M|Buttner, U",HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG
7632,2009,Integrated production and distribution planning for single-period inventory products,,"Park, YB|Hong, SC",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING
7641,2011,Invisible fence methods and the identification of differentially expressed gene sets,,"Jiang, JM|Nguyen, T|Rao, JS",STATISTICS AND ITS INTERFACE
7643,2006,Stability analysis of a controlled aluminium panel using neural network methodology, Elsevier Ltd. All rights reserved.,"Fall, H|Guessasma, S|Charon, W",COMPUTERS & STRUCTURES
7653,2015,Inverse analysis for heterogeneous materials and its application to viscoelastic curing polymers,,"Klinge, S|Steinmann, P",COMPUTATIONAL MECHANICS
7662,2013,Reverse engineering of initial and boundary conditions with Telemac and algorithmic differentiation,,"Merkel, UH|Riehme, J|Naumann, U",WASSERWIRTSCHAFT
7665,2010,AN AUTOMATED METHOD FOR EXTENDING SENSITIVITY ANALYSIS TO MODEL FUNCTIONS,,"Hearne, JW",NATURAL RESOURCE MODELING
7668,2012,Machine Learning for Predictive Management: Short and Long term Prediction of Phytoplankton Biomass using Genetic Algorithm Based Recurrent Neural Networks,,"Kim, DK|Jeong, KS|McKay, RIB|Chon, TS|Joo, GJ",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH
7674,2002,Life cycle assessment of fuel cell vehicles - A methodology example of input data treatment for future technologies,,"Contadini, JF|Moore, RM|Mokhtarian, PL",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7675,2015,How Superadditive Can a Risk Measure Be?,,"Wang, RD|Bignozzi, V|Tsanakas, A",SIAM JOURNAL ON FINANCIAL MATHEMATICS
7679,2017,Concurrent topological design of composite structures and the underlying multi-phase materials, Elsevier Ltd. All rights reserved.,"Da, DC|Cui, XY|Long, K|Li, GY",COMPUTERS & STRUCTURES
7681,2007,Can a prolonged use of a passenger car reduce environmental burdens? Life Cycle analysis of Swiss passenger cars, Elsevier Ltd. All rights reserved.,"Spielmann, M|Althaus, HJ",JOURNAL OF CLEANER PRODUCTION
7684,2005,Integrated modelling of conventional pollutants and organic contaminant fate in rivers: a microcosm study,,"Deksissa, T|Vanrolleghem, PA",WATER SCIENCE AND TECHNOLOGY
7689,2013,Parallel computing in topology optimization of structures with stress constraints, Elsevier Ltd. All rights reserved.,"Paris, J|Colominas, I|Navarrina, F|Casteleiro, M",COMPUTERS & STRUCTURES
7691,2004,Modelling the biological performance of a side-stream membrane bioreactor using ASM1,,"Tian, KJ|Liu, XA|Jiang, T|Kennedy, MD|Schippers, JC|Vanrolleghem, PA",JOURNAL OF ENVIRONMENTAL SCIENCES
7698,2017,Modeling and design optimization of a robot gripper mechanism,,"Hassan, A|Abomoharam, M",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING
7700,2012,CHANGES OF HEAVY METAL CONCENTRATIONS IN GOATS MILK DURING LACTATION STAGE IN ORGANIC BREEDING,,"Antunovic, Z|Klapec, T|Cavar, S|Mioc, B|Novoselec, J|Klir, Z",BULGARIAN JOURNAL OF AGRICULTURAL SCIENCE
7704,2013,Identification and experimental validation of an HIV model for HAART treated patients, (C) 2013 Elsevier Ireland Ltd. All rights reserved.,"Pannocchia, G|Morano, E|Laurino, M|Nozza, S|Tambussi, G|Landi, A",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE
7709,2010,Effect of cleaning protocol on membrane permeability recovery: A sensitivity analysis,,"Porcelli, N|Judd, S",JOURNAL AMERICAN WATER WORKS ASSOCIATION
7715,2011,Arsenic Toxicity in Potable Water: Hazards and Management,,"Jain, JK|Nidhi, G",RESEARCH JOURNAL OF CHEMISTRY AND ENVIRONMENT
7721,2008,The Shape Identification Problem in Estimating the Geometry of A Three-Dimensional Irregular Internal Cavity,,"Huang, CH|Chen, CA",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
7736,2016,Life cycle assessment of pavements: reviewing research challenges and opportunities, Elsevier Ltd. All rights reserved.,"AzariJafari, H|Yahia, A|Ben Amor, M",JOURNAL OF CLEANER PRODUCTION
7773,2003,Strategic environmental assessment of alternative sewage sludge management scenarios,,"Poulsen, TG|Hansen, JA",WASTE MANAGEMENT & RESEARCH
7779,2013,Parameter Sensitivity and Probabilistic Analysis of the Elastic Homogenized Properties for Rubber Filled Polymers,,"Kaminski, M|Lauke, B",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
7780,2015,Life Cycle Assessment for highlighting environmental hotspots in Sicilian peach production systems, Elsevier Ltd. All rights reserved.,"Ingrao, C|Matarazzo, A|Tricase, C|Clasadonte, MT|Huisingh, D",JOURNAL OF CLEANER PRODUCTION
7797,2013,Investigation of Progressive Damage and Fracture in Laminated Composites Using the Smeared Crack Approach,,"Heinrich, C|Waas, AM",CMC-COMPUTERS MATERIALS & CONTINUA
7803,2005,Neural networks and temporal gene expression data,,"Krishna, A|Narayanan, A|Keedwell, EC","APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS"
7806,2011,Influence of humic acid on the sorption of uranium(IV) to kaolin,,"Evans, N|Warwick, P|Lewis, T|Bryan, N",ENVIRONMENTAL CHEMISTRY LETTERS
7810,2015,Life cycle environmental impact assessment of a bridge with different strengthening schemes,,"Pang, B|Yang, PC|Wang, YF|Kendall, A|Xie, HB|Zhang, YR",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7816,2002,Measuring sensitivity in a bonus-malus system, (C) 2002 Elsevier Science B.V. All rights reserved.,"Gomez, E|Hernandez, A|Perez, JM|Vazquez-Polo, FJ",INSURANCE MATHEMATICS & ECONOMICS
7819,2014,Energy recovery in the water industry using micro-hydropower: an opportunity to improve sustainability,,"McNabola, A|Coughlan, P|Corcoran, L|Power, C|Williams, AP|Harris, I|Gallagher, J|Styles, D",WATER POLICY
7822,2015,The Analysis of Multivariate Data Using Semi-Definite Programming,,"Al-Ibrahim, AH",JOURNAL OF CLASSIFICATION
7830,2016,A novel approach for uncertainty propagation applied to two different bio-waste management options,,"Di Maria, F|Micale, C|Contini, S",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7846,2016,INFLUENCE OF LAND USE CHANGE ON TOTAL NITROGEN EXPORT IN NAOLI RIVER WATERSHED FROM 1954 TO 2010,,"Yin, XM|Lu, XG|Liu, XT|Xue, ZS",FRESENIUS ENVIRONMENTAL BULLETIN
7858,2000,New methods of imaging in electrical impedance tomography - A comparative study,,"Sikora, R|Filipowicz, S|Giza, Z|Sikora, J",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING
7861,2015,Multiscale modeling of the effect of the interfacial transition zone on the modulus of elasticity of fiber-reinforced fine concrete,,"Zhang, JL|Liu, X|Yuan, Y|Mang, HA",COMPUTATIONAL MECHANICS
7862,2001,Using GaBi 3 to perform life cycle assessment and life cycle engineering,,"Spatari, S|Betz, M|Florin, H|Baitz, M|Faltenbacher, M",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7868,2010,Benchmarking multidisciplinary design optimization algorithms,,"Tedford, NP|Martins, JRRA",OPTIMIZATION AND ENGINEERING
7872,2004,Characterizing configuration spaces of simple threshold cellular automata,,"Tosic, PT|Agha, GA","CELLULAR AUTOMATA, PROCEEDINGS"
7882,2012,Self-inhibition can limit biologically enhanced TCE dissolution from a TCE DNAPL, Elsevier Ltd. All rights reserved.,"Haest, PJ|Springael, D|Seuntjens, P|Smolders, E",CHEMOSPHERE
7887,2006,Reliability analysis of spacecraft structures under static and dynamic loading, Elsevier Ltd. All rights reserved.,"Pellissetti, MF|Schueller, GI|Pradlwarter, HJ|Calvi, A|Fransen, S|Klein, M",COMPUTERS & STRUCTURES
7888,2010,Environmental performance evaluation of large-scale municipal solid waste incinerators using data envelopment analysis, Elsevier Ltd. All rights reserved.,"Chen, HW|Chang, NB|Chen, JC|Tsai, SJ",WASTE MANAGEMENT
7895,2017,Simpler models in environmental studies and predictions,,"Hong, EM|Pachepsky, YA|Whelan, G|Nicholson, T",CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY
7897,2003,Influence of the dispersion number on the estimation of coliform removal in ponds,,"von Sperling, M",WATER SCIENCE AND TECHNOLOGY
7898,2005,Grounding collaborative knowledge building in semantics-based critiquing,,"Morch, AI|Cheung, WK|Wong, KC|Liu, JM|Lee, C|Lam, MH|Tang, JP",ADVANCES IN WEB-BASED LEARNING - ICWL 2005
7905,2004,"A comparative life cycle assessment of building insulation products made of stone wool, paper wool and flax",,"Schmidt, AC|Jensen, AAC|Clausen, AU|Kamstrup, O|Postlehwaite, D",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7913,2005,Uncertainty and updating of long-term prediction of prestress forces in PSC box girder bridges, Elsevier Ltd. All rights reserved.,"Yang, IH",COMPUTERS & STRUCTURES
7917,2017,"Clean production pathways for regional power-generation system under emission constraints: A case study of Shanghai, China", Elsevier Ltd. All rights reserved.,"Chang, Z|Wu, HX|Pan, KX|Zhu, HX|Chen, JM",JOURNAL OF CLEANER PRODUCTION
7922,2013,A system dynamics approach for water resources policy analysis in arid land: a model for Manas River Basin,,"Dai, SS|Li, LH|Xu, HG|Pan, XL|Li, XM",JOURNAL OF ARID LAND
7925,2007,Thermal analysis of CNT-based nano-composites by element free Galerkin method,,"Singh, IV|Tanaka, M|Endo, M",COMPUTATIONAL MECHANICS
7927,2003,Quantitative risk assessment of Cryptosporidium in surface water treatment,,"Medema, GJ|Hoogenboezm, W|van der Veer, AJ|Ketelaars, HAM|Hilnen, WAM|Nobel, PJ",WATER SCIENCE AND TECHNOLOGY
7932,2002,Reliability-based importance assessment of structural members with applications to complex structures, (C) 2002 Elsevier Science Ltd. All rights reserved.,"Gharaibeh, ES|Frangopol, DM|Onoufriou, T",COMPUTERS & STRUCTURES
7933,2011,Making use of the Digital Soil Map of Wallonia and of an available soil analysis database for assessing the risk of pesticide leaching to groundwater,,"Bah, BB|Vanclooster, M|Oger, R|Bock, L|Colinet, G",BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT
7943,2017,Agent-based model of self-organized industrial symbiosis, (C) 2017 Published by Elsevier Ltd.,"Ghali, MR|Frayret, JM|Ahabchane, C",JOURNAL OF CLEANER PRODUCTION
7961,2012,Modeling an air pollution episode in northwestern United States: Identifying the effect of nitrogen oxide and volatile organic compound emission changes on air pollutants formation using direct sensitivity analysis,,"Tsimpidi, AP|Trail, M|Hu, YT|Nenes, A|Russell, AG",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
7962,2015,"Life Cycle-based Assessment of Energy Use and Greenhouse Gas Emissions in Almond Production, Part II: Uncertainty Analysis through Sensitivity Analysis and Scenario Testing",,"Marvinney, E|Kendall, A|Brodt, S",JOURNAL OF INDUSTRIAL ECOLOGY
7966,2014,Comparative life cycle assessment of smartphone reuse: repurposing vs. refurbishment,,"Zink, T|Maker, F|Geyer, R|Amirtharajah, R|Akella, V",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7971,2011,Using Artificial Neural Networks for estimation of scour at the head of vertical wall breakwater,,"Jabbari, E|Talebi, O",JOURNAL OF COASTAL RESEARCH
7974,2016,The Max-Min High-Order Dynamic Bayesian Network for Learning Gene Regulatory Networks with Time-Delayed Regulations,,"Li, YF|Chen, HF|Zheng, J|Ngom, A",IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS
