AU,SO,copyright,title,year
"Tetzlaff, B|Wendland, F",WATER RESOURCES MANAGEMENT,,"Modelling Sediment Input to Surface Waters for German States with MEPhos: Methodology, Sensitivity and Uncertainty",2012
"Babu, GLS|Basha, BM",COMPUTERS AND GEOTECHNICS, Elsevier Ltd. All rights reserved.,Optimum design of cantilever sheet pile walls in sandy soils using inverse reliability approach,2008
"Duchateau, N|De Craene, M|Allain, P|Saloux, E|Sermesant, M",IEEE TRANSACTIONS ON MEDICAL IMAGING,,Infarct Localization From Myocardial Deformation: Prediction and Uncertainty Quantification by Regression From a Low-Dimensional Space,2016
"Johannink, M|Masilamani, K|Mhamdi, A|Roller, S|Marquardt, W",DESALINATION, (C) 2015 Elsevier B.V. All rights reserved.,Predictive pressure drop models for membrane channels with non-woven and woven spacers,2015
"Bunzl, K|Schimmack, W|Jacob, P",JOURNAL OF ENVIRONMENTAL RADIOACTIVITY, (C) 2001 Elsevier Science Ltd. All rights reserved.,Uncertainty analysis of the external gamma-dose rate due to the variability of the vertical distribution of Cs-137 in the soil,2001
"Zhang, WG|Liu, Y",JOURNAL OF COASTAL RESEARCH,,Main Factor Sensitivity Analysis Based on Response Surface Model Updating of Port Crane Structure,2015
"Wittich, KP|Kraft, M",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,,The normalised difference vegetation index obtained from agrometeorological standard radiation sensors: a comparison with ground-based multiband spectroradiometer measurements during the phenological development of an oat canopy,2008
"Gong, LB|Xu, CY|Chen, DL|Halldin, S|Chen, YQD",JOURNAL OF HYDROLOGY, (c) 2006 Elsevier B.V. All rights reserved.,Sensitivity of the Penman-Monteith reference evapotranspiration to key climatic variables in the Changjiang (Yangtze River) basin,2006
"Tyagi, A|Haan, CT",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,,"Reliability, risk and uncertainty analysis using generic expectation functions",2001
"Zeng, ZW|Chen, Y|Zhang, XR",COMPUTERS AND ELECTRONICS IN AGRICULTURE,,Modelling the interaction of a deep tillage tool with heterogeneous soil,2017
"Aziz, MA|Imteaz, MA|Rasel, HM|Samsuzzoha, M",JOURNAL OF HYDROINFORMATICS,,Sensitivity analysis on the pollutant trapping efficiencies of a novel sewerage overflow screening device,2016
"Liu, DS|Litvinenko, A|Schillings, C|Schulz, V",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Quantification of Airfoil Geometry-Induced Aerodynamic Uncertainties-Comparison of Approaches,2017
"Ham, YJ|Kim, SB|Park, SJ",ENVIRONMENTAL TECHNOLOGY,,Numerical experiments for bioclogging in porous media,2007
"Gottschalk, P|Wattenbach, M|Neftel, A|Fuhrer, J|Jones, M|Lanigan, G|Davis, P|Campbell, C|Soussana, JF|Smith, P",AGRICULTURE ECOSYSTEMS & ENVIRONMENT, (c) 2006 Elsevier B.V. All rights reserved.,The role of measurement uncertainties for the simulation of grassland net ecosystem exchange (NEE) in Europe,2007
"Rajadhyaksha, SM|Michaleris, P",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2000 John Wiley & Sons, Ltd.",Optimization of thermal processes using an Eulerian formulation and application in laser surface hardening,2000
"Xue, XH",JOURNAL OF COMPUTING IN CIVIL ENGINEERING, (C) 2016 American Society of Civil Engineers.,Prediction of Slope Stability Based on Hybrid PSO and LSSVM,2017
"Remondo, J|Gonzalez, A|De Teran, JRD|Cendrero, A|Fabbri, A|Chung, CJF",NATURAL HAZARDS,,Validation of landslide susceptibility maps; Examples and applications from a case study in northern Spain,2003
"Dai, Q|Han, DW|Zhuo, L|Zhang, J|Islam, T|Srivastava, PK",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Seasonal ensemble generator for radar rainfall using copula and autoregressive model,2016
"Pastres, R|Ciavatta, S",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,A comparison between the uncertainties in model parameters and in forcing functions: its application to a 3D water-quality model,2005
"Bolado, R|Mira, J",ENVIRONMETRICS," Copyright (C) 2003 John Wiley Sons, Ltd.",Trivial reductions of dimensionality in the propagation of uncertainties: a physical example,2004
"Lahmer, T|Bock, S|Hildebrand, J|Gurlebeck, K",INVERSE PROBLEMS IN SCIENCE AND ENGINEERING,,Non-destructive identification of residual stresses in steel under thermal loadings,2017
"Dorini, G|Kapelan, Z|Azapagic, A",CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,,Managing uncertainty in multiple-criteria decision making related to sustainability assessment,2011
"Nease, J|Adams, TA",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Application of rolling horizon optimization to an integrated solid-oxide fuel cell and compressed air energy storage plant for zero-emissions peaking power under uncertainty,2014
"Rousseau, DPL|Griffin, P|Vanrolleghem, PA|De Pauw, N",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,,"Model study of short-term dynamics of secondary treatment reed beds at saxby (Leicestershire, UK)",2005
"Arhonditsis, GB|Adams-VanHarn, BA|Nielsen, L|Stow, CA|Reckhow, KH",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Evaluation of the current state of mechanistic aquatic biogeochemical modeling: Citation analysis and future perspectives,2006
"Peng, X|Shi, GL|Gao, J|Liu, JY|HuangFu, YQ|Ma, T|Wang, HT|Zhang, YC|Wang, H|Li, H|Ivey, CE|Feng, YC",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Characteristics and sensitivity analysis of multiple-time-resolved source patterns of PM2.5 with real time data using Multilinear Engine 2,2016
"Kodaganallur, V|Sen, AK|Mitra, S",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,Application of graph search and genetic algorithms for the single machine scheduling problem with sequence-dependent setup times and quadratic penalty function of completion times,2014
"Abramoff, RZ|Davidson, EA|Finzi, AC",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,,A parsimonious modular approach to building a mechanistic belowground carbon and nitrogen model,2017
"Ha, YD|Kim, MG|Kim, HS|Cho, S",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Shape design optimization of SPH fluid-structure interactions considering geometrically exact interfaces,2011
"Yang, XJ|Chen, X|Carrigan, CR|Ramirez, AL",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Published by Elsevier Ltd.,Uncertainty quantification of CO2 saturation estimated from electrical resistance tomography data at the Cranfield site,2014
"Chen, YB|Ren, QW|Huang, FH|Xu, HJ|Cluckie, I",JOURNAL OF HYDROLOGIC ENGINEERING,,Liuxihe Model and Its Modeling to River Basin Flood,2011
"Robson, BJ|Webster, IT",ENVIRONMENTAL MODELLING & SOFTWARE, Crown Copyright (C) 2005 Published by Elsevier Ltd. All rights reserved.,Representing the effects of subgrid-scale variations in bathymetry on light and primary production,2006
"Burg, COE|Huddleston, DH|Berger, RC",JOURNAL OF HYDRAULIC ENGINEERING-ASCE,,"Efficient, robust design tool for open-channel flow",2001
"Lebedev, AV|Okun, MV|Chorkov, VA|Tokar, PM|Strelkova, M",JOURNAL OF MATHEMATICAL CHEMISTRY,,Systematic procedure for reduction of kinetic mechanisms of complex chemical processes and its software implementation,2013
"Sharma, SP|Kumar, D|Kumar, A",APPLIED SOFT COMPUTING, (C) 2011 Elsevier B. V. All rights reserved.,Reliability analysis of complex multi-robotic system using GA and fuzzy methodology,2012
"McColl, KA|Roy, A|Derksen, C|Konings, AG|Alemohammed, SH|Entekhabi, D",REMOTE SENSING OF ENVIRONMENT, (C) 2016 Elsevier Inc. All rights reserved.,Triple collocation for binary and categorical variables: Application to validating landscape freeze/thaw retrievals,2016
"Calvin, JM|Glynn, PW|Nakayama, MK",ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,,The semi-regenerative method of simulation output analysis,2006
"Raoufi, A|Kapadia, S|Newman, JC",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Computational optimization and sensitivity analysis of fuel reformer,2016
"Kuehn, C",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Numerical Continuation and SPDE Stability for the 2D Cubic-Quintic Allen-Cahn Equation,2015
"Shivanian, E",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS, Elsevier Ltd. All rights reserved.,Analysis of meshless local radial point interpolation (MLRPI) on a nonlinear partial integro-differential equation arising in population dynamics,2013
"Kang, J|Kim, C|Wang, S",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,,Reliability-based topology optimization for electromagnetic systems,2004
"Dunker, AM|Koo, B|Yarwood, G",ATMOSPHERIC ENVIRONMENT, Published by Elsevier Ltd.,Sensitivity of atmospheric models to rate terms within complex chemical mechanisms,2014
"Skeffington, RA|Whitehead, PG|Heywood, E|Hall, JR|Wadsworth, RA|Reynolds, B",SCIENCE OF THE TOTAL ENVIRONMENT, (c) 2007 Elsevier B.V. All rights reserved.,Estimating uncertainty in terrestrial critical loads and their exceedances at four sites in the UK,2007
"Knighton, J|Lennon, E|Bastidas, L|White, E",JOURNAL OF HYDROLOGIC ENGINEERING,,Stormwater Detention System Parameter Sensitivity and Uncertainty Analysis Using SWMM,2016
"Xue, C|Chen, B|Wu, HJ",JOURNAL OF HYDROLOGIC ENGINEERING,,"Parameter Uncertainty Analysis of Surface Flow and Sediment Yield in the Huolin Basin, China",2014
"Melese, YG|Heijnen, PW|Stikkelman, RM|Herder, PM",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Elsevier Ltd. All rights reserved.,Exploring for real options during CCS networks conceptual design to mitigate effects of path-dependency and lock-in,2015
"Jin, BT|Marin, L",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2006 John Wiley & Sons, Ltd.",The method of fundamental solutions for inverse source problems associated with the steady-state heat conduction,2007
"Rout, NK|Das, DP|Panda, G",APPLIED SOFT COMPUTING, (C) 2016 Elsevier B.V. All rights reserved.,Particle swarm optimization based nonlinear active noise control under saturation nonlinearity,2016
"Ritto, TG|Sampaio, R",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,STOCHASTIC DRILL-STRING DYNAMICS WITH UNCERTAINTY ON THE IMPOSED SPEED AND ON THE BIT-ROCK PARAMETERS,2012
"Ogejo, JA|Senger, RS|Zhang, RH",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Global sensitivity analysis of a process-based model for ammonia emissions from manure storage and treatment structures,2010
"Hurtado, DE|Castro, S|Madrid, P",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,,Uncertainty quantification of 2 models of cardiac electromechanics,2017
"Liu, YJ|Ducoste, JJ",ENVIRONMENTAL ENGINEERING SCIENCE,,Impact of turbulent mixing on the performance of a CFD chloramine model,2006
"Quets, JJ|De Lannoy, GJM|Pauwels, VRN",HYDROLOGICAL PROCESSES," Copyright (C) 2010 John Wiley & Sons, Ltd.",Comparison of spectral and time domain calibration methods for precipitation-discharge processes,2010
"Alotto, P|Molfino, P|Molinari, G",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,,Optimisation of electromagnetic devices with uncertain parameters and tolerances in the design variables,2001
"Khishvand, M|Khamehchi, E|Nokandeh, NR",ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,,A Nonlinear Programming Approach to Gas Lift Allocation Optimization,2015
"Wahl, TL",JOURNAL OF HYDRAULIC ENGINEERING-ASCE,,Uncertainty of predictions of embankment dam breach parameters,2004
"Wolt, J|Singh, P|Cryer, S|Lin, J",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,,Sensitivity analysis for validating expert opinion as to ideal data set criteria for transport modeling,2002
"Garcia-Moreno, AI|Gonzalez-Barbosa, JJ|Hurtado-Ramos, JB|Ornelas-Rodriguez, FJ|Ramirez-Pedraza, A",REVISTA INTERNACIONAL DE METODOS NUMERICOS PARA CALCULO Y DISENO EN INGENIERIA," Published by Elsevier Espana, S.L.U.",Sensitivity analysis in a camera-LiDAR calibration model,2016
"Abusam, A|Keesman, KJ|van Straten, G|Spanjers, H|Meinema, K",JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY, (C) 2001 Society of Chemical Industry.,"Sensitivity analysis in oxidation ditch modelling: the effect of variations in stoichiometric, kinetic and operating parameters on the performance indices",2001
"Eklund, NHW",IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,,Using genetic algorithms to estimate confidence intervals for missing spatial data,2006
"Clenet, S|Ida, N",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2009 John Wiley & Sons, Ltd.",Error estimation in a stochastic finite element method in electrokinetics,2010
"Abgrall, R|Congedo, PM|Geraci, G",MATHEMATICS AND COMPUTERS IN SIMULATION, Published by Elsevier B.V. All rights reserved.,Towards a unified multiresolution scheme for treating discontinuities in differential equations with uncertainties,2017
"Zahraeifard, V|Deng, ZQ|Malone, R",HYDROLOGICAL PROCESSES," Copyright (c) 2014 John Wiley & Sons, Ltd.",Modelling spatial variations in dissolved oxygen in fine-grained streams under uncertainty,2015
"Begou, JC|Jomaa, S|Benabdallah, S|Bazie, P|Afouda, A|Rode, M",WATER,,Multi-Site Validation of the SWAT Model on the Bani Catchment: Model Performance and Predictive Uncertainty,2016
"Barthold, FK|Tyralla, C|Schneider, K|Vache, KB|Frede, HG|Breuer, L",WATER RESOURCES RESEARCH,,How many tracers do we need for end member mixing analysis (EMMA)? A sensitivity analysis,2011
"Pedersen, P|Pedersen, NL",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,A note on eigenfrequency sensitivities and structural eigenfrequency optimization based on local sub-domain frequencies,2014
"Vasquez, VR|Whiting, WB|Meerschaert, MM",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Confidence interval estimation under the presence of non-Gaussian random errors: Applications to uncertainty analysis of chemical processes and simulation,2010
"Verma, SK|Fenila, F|Shastri, Y",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Sensitivity analysis and stochastic modelling of lignocellulosic feedstock pretreatment and hydrolysis,2017
"Hemri, S|Lisniak, D|Klein, B",HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG,,Ascertainment of probabilistic runoff forecasts considering censored data,2014
"Liao, KH|Lai, XM|Liu, YJ|Zhu, Q",JOURNAL OF SOILS AND SEDIMENTS,,Uncertainty analysis in near-surface soil moisture estimation on two typical land-use hillslopes,2016
"Tafreshi, A",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS, Elsevier Ltd. All rights reserved.,Shape sensitivity analysis of composites in contact using the boundary element method,2009
"Bilotta, G|Cappello, A|Herault, A|Vicari, A|Russo, G|Del Negro, C",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Sensitivity analysis of the MAGFLOW Cellular Automaton model for lava flow simulation,2012
"Zhu, GF|Su, YH|Li, X|Zhang, K|Li, CB",JOURNAL OF HYDROLOGY, (C) 2012 Elsevier B.V. All rights reserved.,Estimating actual evapotranspiration from an alpine grassland on Qinghai-Tibetan plateau using a two-source model and parameter uncertainty analysis by Bayesian approach,2013
"Kraan, BCP|Cooke, RM",RADIATION PROTECTION DOSIMETRY,,Processing expert judgements in accident consequence modelling,2000
"Lin, YH|Wu, CL",ENVIRONMENTAL MODELING & ASSESSMENT,,Sensitivity Analysis of Phenol Degradation with Sulfate Reduction Under Anaerobic Conditions,2011
"Xu, C|Follmann, PM|Biegler, LT|Jhon, MS",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Numerical simulation and optimization of a direct methanol fuel cell,2005
"Pedersen, CBW|Buhl, T|Sigmund, O",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2001 John Wiley & Sons, Ltd.",Topology synthesis of large-displacement compliant mechanisms,2001
"Smakgahn, K|Fumoto, T|Yagi, K",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,,Validation of revised DNDC model for methane emissions from irrigated rice fields in Thailand and sensitivity analysis of key factors,2009
"Neto, MA|Ambrosio, JAC|Leal, RP",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2008 John Wiley & Sons, Ltd.",Sensitivity analysis of flexible multibody systems using composite materials components,2009
"Pau, GSH|Shen, CP|Riley, WJ|Liu, YN",WATER RESOURCES RESEARCH,,Accurate and efficient prediction of fine-resolution hydrologic and carbon dynamic simulations from coarse-resolution models,2016
"Balakrishnan, S|Roy, A|Ierapetritou, MG|Flach, GP|Georgopoulos, PG",JOURNAL OF HYDROLOGY, (c) 2004 Elsevier B.V. All rights reserved.,A comparative assessment of efficient uncertainty analysis techniques for environmental fate and transport models: application to the FACT model,2005
"Harvey, RP|Hamby, DM",RADIATION PROTECTION DOSIMETRY,,Uncertainty in particulate deposition for 1 mu m AMAD particles in an adult lung model,2001
"Angelopoulos, PM|Gerogiorgis, DI|Paspaliaris, I",APPLIED MATHEMATICAL MODELLING, (C) 2013 Elsevier Inc. Al! rights reserved.,Mathematical modeling and process simulation of perlite grain expansion in a vertical electrical furnace,2014
"Feijoo, GR|Malhotra, M|Oberai, AA|Pinsky, PM",ENGINEERING COMPUTATIONS,,Shape sensitivity calculations for exterior acoustics problems,2001
"Kurtz, W|Franssen, HJH|Vereecken, H",WATER RESOURCES RESEARCH,,Identification of time-variant river bed properties with the ensemble Kalman filter,2012
"Verdu, F|Villacampa, Y",ADVANCES IN ENGINEERING SOFTWARE, (c) 2007 Published by Elsevier Ltd.,A computational algorithm for the multiple generation of nonlinear mathematical models and stability study,2008
